Term,Definition,Category,Source,Difficulty
assign,"To assign means to set a value; in pandas, assign() creates new columns in a DataFrame (often without mutating the original).",Dataplatform Development,Dataplatform Development Course,beginner
logical error,A logical error is a bug where code runs without crashing but produces the wrong result.,Dataplatform Development,Dataplatform Development Course,beginner
handling error,"Error handling is writing code that detects failures and responds safely (messages, retries, fallback, or clean exit).",Dataplatform Development,Dataplatform Development Course,beginner
iterable,"An iterable is an object you can loop over (it produces items one by one), like lists, strings, or generators.",Dataplatform Development,Dataplatform Development Course,beginner
iterate over,"To iterate over means to loop through each item in a collection, one at a time.",Dataplatform Development,Dataplatform Development Course,beginner
list comprehension,A list comprehension is a compact way to build a new list from an iterable in a single expression.,Dataplatform Development,Dataplatform Development Course,beginner
collections,"In Python, the collections module provides specialized container types like Counter, defaultdict, and deque.",Dataplatform Development,Dataplatform Development Course,beginner
tuples,"A tuple is an immutable (unchangeable) ordered collection in Python, written with parentheses or commas.",Dataplatform Development,Dataplatform Development Course,beginner
\_\_repr\_\_,__repr__ is a Python 'dunder' method that returns an unambiguous string representation of an object (useful for debugging).,Dataplatform Development,Dataplatform Development Course,beginner
dunder methods,"Dunder methods are special Python methods with double underscores (e.g., __init__, __repr__) that customize object behavior.",Dataplatform Development,Dataplatform Development Course,beginner
pythonic,"Pythonic means written in a clear, idiomatic style that fits Python conventions.",Dataplatform Development,Dataplatform Development Course,beginner
idiomatic,"Idiomatic code follows the common style and patterns of a language, making it easier to read and maintain.",Dataplatform Development,Dataplatform Development Course,beginner
DRY,"Don't Repeat Yourself (DRY): a principle that encourages avoiding duplicated code by reusing functions, modules, or shared logic.",Dataplatform Development,Dataplatform Development Course,beginner
spaghetti code,"Spaghetti code is tangled, hard-to-follow code with poor structure and many hidden dependencies.",Dataplatform Development,Dataplatform Development Course,beginner
\*args,"In Python, *args collects extra positional arguments into a tuple inside a function.",Dataplatform Development,Dataplatform Development Course,beginner
\*\*kwargs,"In Python, **kwargs collects extra keyword arguments into a dictionary inside a function.",Dataplatform Development,Dataplatform Development Course,beginner
unpacking list,"Unpacking means assigning elements from a list/tuple into multiple variables (e.g., a, b = [1, 2]).",Dataplatform Development,Dataplatform Development Course,beginner
ternary operator,A ternary operator is a one-line conditional expression: x if condition else y.,Dataplatform Development,Dataplatform Development Course,beginner
json,"JSON (JavaScript Object Notation) is a text format for structured data, commonly used in APIs.",Dataplatform Development,Dataplatform Development Course,beginner
dataframe,A DataFrame is a 2D table-like data structure in pandas with labeled rows and columns.,Dataplatform Development,Dataplatform Development Course,beginner
series,A Series is a 1D labeled array in pandas (similar to a single column with an index).,Dataplatform Development,Dataplatform Development Course,beginner
pandas concat,pandas concat() combines multiple Series/DataFrames by stacking rows or columns.,Dataplatform Development,Dataplatform Development Course,beginner
pandas appply,pandas apply() runs a function on each row or column (or element) to transform data.,Dataplatform Development,Dataplatform Development Course,beginner
pandas isnull,pandas isnull()/isna() checks for missing values (NaN/None) and returns a boolean mask.,Dataplatform Development,Dataplatform Development Course,beginner
masking in pandas,"Masking in pandas means filtering rows using boolean conditions (e.g., df[df['col'] > 0]).",Dataplatform Development,Dataplatform Development Course,beginner
pandas transpose,pandas transpose (df.T) swaps rows and columns in a DataFrame.,Dataplatform Development,Dataplatform Development Course,beginner
pandas value_counts(),pandas value_counts() counts unique values in a Series and returns frequencies.,Dataplatform Development,Dataplatform Development Course,beginner
json,"JSON (JavaScript Object Notation) is a text format for structured data, commonly used in APIs.",Dataplatform Development,Dataplatform Development Course,beginner
tabular data,Tabular data is data organized in rows and columns (like a spreadsheet or database table).,Dataplatform Development,Dataplatform Development Course,beginner
zero-based indexing,Zero-based indexing means sequences start at index 0 (first element is at position 0).,Dataplatform Development,Dataplatform Development Course,beginner
host system,The host system is the machine/OS that runs containers or virtual environments.,Dataplatform Development,Dataplatform Development Course,beginner
virtualization,Virtualization is running isolated environments on a host machine (VMs or containers) to separate workloads.,Dataplatform Development,Dataplatform Development Course,beginner
spin up,"To spin up means to start and make a service/resource ready (e.g., start containers or servers).",Dataplatform Development,Dataplatform Development Course,beginner
