Term,Definition,Category,Source,Difficulty
RDBMS,"Relational Database Management System: software that stores data in related tables, enforces constraints, and supports transactions (ACID), typically queried with SQL.",Data Modeling,Data Modeling Course,beginner
relational model,"A data model that represents data as relations (tables) made of tuples (rows) and attributes (columns), with keys defining relationships.",Data Modeling,Data Modeling Course,beginner
conceptual model,"A high-level business view of data: main entities and relationships, without technical details like data types or indexes.",Data Modeling,Data Modeling Course,beginner
logical model,"A detailed, technology-agnostic design of entities, attributes, keys, and relationships (often normalized), ready to be implemented in a specific DB.",Data Modeling,Data Modeling Course,beginner
physical model,"The implementation-specific design in a chosen DB: tables, columns, data types, indexes, constraints, partitioning, and storage details.",Data Modeling,Data Modeling Course,beginner
ERD,"Entity-Relationship Diagram: a visual model of entities, attributes, and relationships including cardinality/optionality.",Data Modeling,Data Modeling Course,beginner
data modeling,"The process of designing how data is structured, related, and constrained to support a business domain (conceptual → logical → physical).",Data Modeling,Data Modeling Course,beginner
data integrity,"The correctness/validity of data, maintained through constraints, validation rules, and controlled updates.",Data Modeling,Data Modeling Course,beginner
data consistency,Data agrees across the system (no contradictions) and remains coherent after transactions and updates.,Data Modeling,Data Modeling Course,beginner
field,A single piece of stored data in a record; often the value in a specific column for a row.,Data Modeling,Data Modeling Course,beginner
attribute,A property that describes an entity; typically implemented as a column in a table.,Data Modeling,Data Modeling Course,beginner
data type,"A rule that defines what kind of values a field/attribute can store (e.g., integer, text, date) and how it is processed.",Data Modeling,Data Modeling Course,beginner
data redundancy,"Unnecessary duplication of the same fact in multiple places, which increases storage and can cause inconsistencies.",Data Modeling,Data Modeling Course,beginner
transaction,A unit of work that is all-or-nothing (commit/rollback) to keep data reliable; follows ACID principles.,Data Modeling,Data Modeling Course,beginner
cardinality,"How many instances of one entity can be associated with instances of another (1:1, 1:N, N:M).",Data Modeling,Data Modeling Course,beginner
one-to-one,"A relationship where each row in A relates to at most one row in B, and each row in B relates to at most one row in A.",Data Modeling,Data Modeling Course,beginner
one-to-many,"A relationship where one row in A can relate to many rows in B, while each row in B relates to one row in A.",Data Modeling,Data Modeling Course,beginner
composite entity,An associative entity (junction table) used to represent a many-to-many relationship and/or store attributes about that relationship.,Data Modeling,Data Modeling Course,beginner
constraint,"A rule enforced by the database to protect data quality (PRIMARY KEY, FOREIGN KEY, UNIQUE, NOT NULL, CHECK, etc.).",Data Modeling,Data Modeling Course,beginner
primary key,Column(s) that uniquely identify each row in a table; must be unique and not null.,Data Modeling,Data Modeling Course,beginner
foreign key,A column that references a primary/unique key in another table to enforce referential integrity between rows.,Data Modeling,Data Modeling Course,beginner
bridge table,A junction table that connects two tables in a many-to-many relationship (also called associative table).,Data Modeling,Data Modeling Course,beginner
attributes,The set of properties/columns that describe an entity or table.,Data Modeling,Data Modeling Course,beginner
referential integrity,A guarantee that foreign keys always reference existing rows (no 'orphan' references).,Data Modeling,Data Modeling Course,beginner
child entity,The table on the many-side of a relationship that holds the foreign key referencing a parent table.,Data Modeling,Data Modeling Course,beginner
parent entity,The table on the one-side of a relationship that is referenced by foreign keys from child tables.,Data Modeling,Data Modeling Course,beginner
natural key,"A real-world, meaningful identifier used as a key (e.g., email address), not generated by the system.",Data Modeling,Data Modeling Course,beginner
surrogate key,"A system-generated identifier used as a key (e.g., SERIAL/IDENTITY/UUID) with no business meaning.",Data Modeling,Data Modeling Course,beginner
