Term,Definition,Category,Source,Difficulty
RDBMS,,Data Modeling,Data Modeling Course,beginner
relational model,,Data Modeling,Data Modeling Course,beginner
conceptual model,,Data Modeling,Data Modeling Course,beginner
logical model,,Data Modeling,Data Modeling Course,beginner
physical model,,Data Modeling,Data Modeling Course,beginner
ERD,,Data Modeling,Data Modeling Course,beginner
data modeling,,Data Modeling,Data Modeling Course,beginner
data integrity,,Data Modeling,Data Modeling Course,beginner
data consistency,,Data Modeling,Data Modeling Course,beginner
field,,Data Modeling,Data Modeling Course,beginner
attribute,,Data Modeling,Data Modeling Course,beginner
data type,,Data Modeling,Data Modeling Course,beginner
data redundancy,,Data Modeling,Data Modeling Course,beginner
transaction,,Data Modeling,Data Modeling Course,beginner
cardinality,,Data Modeling,Data Modeling Course,beginner
one-to-one,,Data Modeling,Data Modeling Course,beginner
one-to-many,,Data Modeling,Data Modeling Course,beginner
composite entity,,Data Modeling,Data Modeling Course,beginner
constraint,,Data Modeling,Data Modeling Course,beginner
primary key,,Data Modeling,Data Modeling Course,beginner
foreign key,,Data Modeling,Data Modeling Course,beginner
bridge table,,Data Modeling,Data Modeling Course,beginner
attributes,,Data Modeling,Data Modeling Course,beginner
referential integrity,,Data Modeling,Data Modeling Course,beginner
child entity,,Data Modeling,Data Modeling Course,beginner
parent entity,,Data Modeling,Data Modeling Course,beginner
natural key,,Data Modeling,Data Modeling Course,beginner
surrogate key,,Data Modeling,Data Modeling Course,beginner
candidate key,,Data Modeling,Data Modeling Course,beginner
alternate key,,Data Modeling,Data Modeling Course,beginner
normalization,,Data Modeling,Data Modeling Course,beginner
insertion anomaly,,Data Modeling,Data Modeling Course,beginner
update anomaly,,Data Modeling,Data Modeling Course,beginner
deletion anomaly,,Data Modeling,Data Modeling Course,beginner
normal forms,,Data Modeling,Data Modeling Course,beginner
boyce-codd normal form,,Data Modeling,Data Modeling Course,beginner
transitive dependency,,Data Modeling,Data Modeling Course,beginner
functional dependency,,Data Modeling,Data Modeling Course,beginner
ternary relationship,,Data Modeling,Data Modeling Course,beginner
composite primary key,,Data Modeling,Data Modeling Course,beginner
relational schema notation,,Data Modeling,Data Modeling Course,beginner
entity constriants,,Data Modeling,Data Modeling Course,beginner
CRUD,,SQL,SQL Course,beginner
query,,SQL,SQL Course,beginner
statement,,SQL,SQL Course,beginner
DDL,,SQL,SQL Course,beginner
DML,,SQL,SQL Course,beginner
idempotent,,SQL,SQL Course,beginner
table,,SQL,SQL Course,beginner
schema,,SQL,SQL Course,beginner
row,,SQL,SQL Course,beginner
record,,SQL,SQL Course,beginner
column,,SQL,SQL Course,beginner
database,,SQL,SQL Course,beginner
persistance,,SQL,SQL Course,beginner
DQL,,SQL,SQL Course,beginner
relational database,,SQL,SQL Course,beginner
dot commands,,SQL,SQL Course,beginner
CLI,,SQL,SQL Course,beginner
bash,,SQL,SQL Course,beginner
type inference,,SQL,SQL Course,beginner
clause,,SQL,SQL Course,beginner
aliasing,,SQL,SQL Course,beginner
SQL statement,,SQL,SQL Course,beginner
persistent database,,SQL,SQL Course,beginner
.wal,,SQL,SQL Course,beginner
IDE,,SQL,SQL Course,beginner
csv,,SQL,SQL Course,beginner
namespace,,SQL,SQL Course,beginner
CRUD,,SQL,SQL Course,beginner
query,,SQL,SQL Course,beginner
statement,,SQL,SQL Course,beginner
schema,,SQL,SQL Course,beginner
aliasing,,SQL,SQL Course,beginner
projection,,SQL,SQL Course,beginner
selection,,SQL,SQL Course,beginner
namespace,,SQL,SQL Course,beginner
SELECT clause,,SQL,SQL Course,beginner
WHERE clause,,SQL,SQL Course,beginner
condition,,SQL,SQL Course,beginner
BETWEEN,,SQL,SQL Course,beginner
aggregate functions,,SQL,SQL Course,beginner
range filtering,,SQL,SQL Course,beginner
pattern matching,,SQL,SQL Course,beginner
list filtering,,SQL,SQL Course,beginner
temporal,,SQL,SQL Course,beginner
interval,,SQL,SQL Course,beginner
synthetic,,SQL,SQL Course,beginner
VALUES,,SQL,SQL Course,beginner
subquery,,SQL,SQL Course,beginner
compound query,,SQL,SQL Course,beginner
